vigun.IT97K-499-35.gnm1.contig_412	contig_412
vigun.IT97K-499-35.gnm1.contig_413	contig_413
vigun.IT97K-499-35.gnm1.contig_414	contig_414
vigun.IT97K-499-35.gnm1.contig_416	contig_416
vigun.IT97K-499-35.gnm1.contig_417	contig_417
vigun.IT97K-499-35.gnm1.contig_418	contig_418
vigun.IT97K-499-35.gnm1.contig_419	contig_419
vigun.IT97K-499-35.gnm1.contig_420	contig_420
vigun.IT97K-499-35.gnm1.contig_421	contig_421
vigun.IT97K-499-35.gnm1.contig_422	contig_422
vigun.IT97K-499-35.gnm1.contig_424	contig_424
vigun.IT97K-499-35.gnm1.contig_425	contig_425
vigun.IT97K-499-35.gnm1.contig_426	contig_426
vigun.IT97K-499-35.gnm1.contig_427	contig_427
vigun.IT97K-499-35.gnm1.contig_428	contig_428
vigun.IT97K-499-35.gnm1.contig_429	contig_429
vigun.IT97K-499-35.gnm1.contig_431	contig_431
vigun.IT97K-499-35.gnm1.contig_432	contig_432
vigun.IT97K-499-35.gnm1.contig_434	contig_434
vigun.IT97K-499-35.gnm1.contig_435	contig_435
vigun.IT97K-499-35.gnm1.contig_436	contig_436
vigun.IT97K-499-35.gnm1.contig_437	contig_437
vigun.IT97K-499-35.gnm1.contig_438	contig_438
vigun.IT97K-499-35.gnm1.contig_439	contig_439
vigun.IT97K-499-35.gnm1.contig_440	contig_440
vigun.IT97K-499-35.gnm1.contig_441	contig_441
vigun.IT97K-499-35.gnm1.contig_442	contig_442
vigun.IT97K-499-35.gnm1.contig_443	contig_443
vigun.IT97K-499-35.gnm1.contig_444	contig_444
vigun.IT97K-499-35.gnm1.contig_445	contig_445
vigun.IT97K-499-35.gnm1.contig_446	contig_446
vigun.IT97K-499-35.gnm1.contig_447	contig_447
vigun.IT97K-499-35.gnm1.contig_448	contig_448
vigun.IT97K-499-35.gnm1.contig_449	contig_449
vigun.IT97K-499-35.gnm1.contig_450	contig_450
vigun.IT97K-499-35.gnm1.contig_451	contig_451
vigun.IT97K-499-35.gnm1.contig_452	contig_452
vigun.IT97K-499-35.gnm1.contig_453	contig_453
vigun.IT97K-499-35.gnm1.contig_455	contig_455
vigun.IT97K-499-35.gnm1.contig_456	contig_456
vigun.IT97K-499-35.gnm1.contig_457	contig_457
vigun.IT97K-499-35.gnm1.contig_458	contig_458
vigun.IT97K-499-35.gnm1.contig_459	contig_459
vigun.IT97K-499-35.gnm1.contig_460	contig_460
vigun.IT97K-499-35.gnm1.contig_461	contig_461
vigun.IT97K-499-35.gnm1.contig_462	contig_462
vigun.IT97K-499-35.gnm1.contig_463	contig_463
vigun.IT97K-499-35.gnm1.contig_464	contig_464
vigun.IT97K-499-35.gnm1.contig_465	contig_465
vigun.IT97K-499-35.gnm1.contig_466	contig_466
vigun.IT97K-499-35.gnm1.contig_467	contig_467
vigun.IT97K-499-35.gnm1.contig_468	contig_468
vigun.IT97K-499-35.gnm1.contig_469	contig_469
vigun.IT97K-499-35.gnm1.contig_470	contig_470
vigun.IT97K-499-35.gnm1.contig_471	contig_471
vigun.IT97K-499-35.gnm1.contig_472	contig_472
vigun.IT97K-499-35.gnm1.contig_473	contig_473
vigun.IT97K-499-35.gnm1.contig_474	contig_474
vigun.IT97K-499-35.gnm1.contig_475	contig_475
vigun.IT97K-499-35.gnm1.contig_476	contig_476
vigun.IT97K-499-35.gnm1.contig_477	contig_477
vigun.IT97K-499-35.gnm1.contig_478	contig_478
vigun.IT97K-499-35.gnm1.contig_479	contig_479
vigun.IT97K-499-35.gnm1.contig_480	contig_480
vigun.IT97K-499-35.gnm1.contig_481	contig_481
vigun.IT97K-499-35.gnm1.contig_482	contig_482
vigun.IT97K-499-35.gnm1.contig_483	contig_483
vigun.IT97K-499-35.gnm1.contig_484	contig_484
vigun.IT97K-499-35.gnm1.contig_485	contig_485
vigun.IT97K-499-35.gnm1.contig_486	contig_486
vigun.IT97K-499-35.gnm1.contig_487	contig_487
vigun.IT97K-499-35.gnm1.contig_488	contig_488
vigun.IT97K-499-35.gnm1.contig_489	contig_489
vigun.IT97K-499-35.gnm1.contig_490	contig_490
vigun.IT97K-499-35.gnm1.contig_491	contig_491
vigun.IT97K-499-35.gnm1.contig_492	contig_492
vigun.IT97K-499-35.gnm1.contig_493	contig_493
vigun.IT97K-499-35.gnm1.contig_494	contig_494
vigun.IT97K-499-35.gnm1.contig_495	contig_495
vigun.IT97K-499-35.gnm1.contig_496	contig_496
vigun.IT97K-499-35.gnm1.contig_498	contig_498
vigun.IT97K-499-35.gnm1.contig_499	contig_499
vigun.IT97K-499-35.gnm1.contig_500	contig_500
vigun.IT97K-499-35.gnm1.contig_501	contig_501
vigun.IT97K-499-35.gnm1.contig_502	contig_502
vigun.IT97K-499-35.gnm1.contig_503	contig_503
vigun.IT97K-499-35.gnm1.contig_504	contig_504
vigun.IT97K-499-35.gnm1.contig_505	contig_505
vigun.IT97K-499-35.gnm1.contig_506	contig_506
vigun.IT97K-499-35.gnm1.contig_507	contig_507
vigun.IT97K-499-35.gnm1.contig_508	contig_508
vigun.IT97K-499-35.gnm1.contig_509	contig_509
vigun.IT97K-499-35.gnm1.contig_510	contig_510
vigun.IT97K-499-35.gnm1.contig_511	contig_511
vigun.IT97K-499-35.gnm1.contig_512	contig_512
vigun.IT97K-499-35.gnm1.contig_513	contig_513
vigun.IT97K-499-35.gnm1.contig_514	contig_514
vigun.IT97K-499-35.gnm1.contig_515	contig_515
vigun.IT97K-499-35.gnm1.contig_516	contig_516
vigun.IT97K-499-35.gnm1.contig_517	contig_517
vigun.IT97K-499-35.gnm1.contig_518	contig_518
vigun.IT97K-499-35.gnm1.contig_519	contig_519
vigun.IT97K-499-35.gnm1.contig_520	contig_520
vigun.IT97K-499-35.gnm1.contig_521	contig_521
vigun.IT97K-499-35.gnm1.contig_522	contig_522
vigun.IT97K-499-35.gnm1.contig_523	contig_523
